destinationcountrytype,incomegroups
AF 1999,L
AL 1999,LM
DZ 1999,LM
AS 1999,UM
AD 1999,H
AO 1999,L
AG 1999,UM
AR 1999,UM
AM 1999,L
AW 1999,H
AU 1999,H
AT 1999,H
AZ 1999,L
BS 1999,H
BH 1999,UM
BD 1999,L
BB 1999,UM
BY 1999,LM
BE 1999,H
BZ 1999,LM
BJ 1999,L
BM 1999,H
BT 1999,L
BO 1999,LM
BA 1999,LM
BW 1999,UM
BR 1999,UM
VG 1999,
BN 1999,H
BG 1999,LM
BF 1999,L
BI 1999,L
CV 1999,LM
KH 1999,L
CM 1999,L
CA 1999,H
KY 1999,H
CF 1999,L
TD 1999,L
CL 1999,UM
CN 1999,LM
CO 1999,LM
KM 1999,L
CD 1999,L
CG 1999,L
CR 1999,LM
CI 1999,L
HR 1999,UM
CU 1999,LM
CW 1999,
CY 1999,H
CZ 1999,UM
DK 1999,H
DJ 1999,LM
DM 1999,UM
DO 1999,LM
EC 1999,LM
EG 1999,LM
SV 1999,LM
GQ 1999,LM
ER 1999,L
EE 1999,UM
SZ 1999,LM
ET 1999,L
FO 1999,H
FJ 1999,LM
FI 1999,H
FR 1999,H
PF 1999,H
GA 1999,UM
GM 1999,L
GE 1999,L
DE 1999,H
GH 1999,L
GI 1999,
GR 1999,H
GL 1999,H
GD 1999,UM
GU 1999,H
GT 1999,LM
GN 1999,L
GW 1999,L
GY 1999,LM
HT 1999,L
HN 1999,LM
HK 1999,H
HU 1999,UM
IS 1999,H
IN 1999,L
ID 1999,L
IR 1999,LM
IQ 1999,LM
IE 1999,H
IM 1999,UM
IL 1999,H
IT 1999,H
JM 1999,LM
JP 1999,H
JO 1999,LM
KZ 1999,LM
KE 1999,L
KI 1999,LM
KP 1999,L
KR 1999,UM
XK 1999,
KW 1999,H
KG 1999,L
LA 1999,L
LV 1999,LM
LB 1999,UM
LS 1999,L
LR 1999,L
LY 1999,UM
LI 1999,H
LT 1999,LM
LU 1999,H
MO 1999,H
MG 1999,L
MW 1999,L
MY 1999,UM
MV 1999,LM
ML 1999,L
MT 1999,UM
MH 1999,LM
MR 1999,L
MU 1999,UM
MX 1999,UM
FM 1999,LM
MD 1999,L
MC 1999,H
MN 1999,L
ME 1999,
MA 1999,LM
MZ 1999,L
MM 1999,L
NA 1999,LM
NR 1999,
NP 1999,L
NL 1999,H
NC 1999,H
NZ 1999,H
NI 1999,L
NE 1999,L
NG 1999,L
MK 1999,LM
MP 1999,H
NO 1999,H
OM 1999,UM
PK 1999,L
PW 1999,UM
PA 1999,UM
PG 1999,LM
PY 1999,LM
PE 1999,LM
PH 1999,LM
PL 1999,UM
PT 1999,H
PR 1999,UM
QA 1999,H
RO 1999,LM
RU 1999,LM
RW 1999,L
WS 1999,LM
SM 1999,
ST 1999,L
SA 1999,UM
SN 1999,L
RS 1999,
SC 1999,UM
SL 1999,L
SG 1999,H
SX 1999,
SK 1999,UM
SI 1999,H
SB 1999,L
SO 1999,L
ZA 1999,UM
SS 1999,
ES 1999,H
LK 1999,LM
KN 1999,UM
LC 1999,UM
MF 1999,
VC 1999,LM
SD 1999,L
SR 1999,LM
SE 1999,H
CH 1999,H
SY 1999,LM
TW 1999,H
TJ 1999,L
TZ 1999,L
TH 1999,LM
TL 1999,
TG 1999,L
TO 1999,LM
TT 1999,UM
TN 1999,LM
TR 1999,LM
TM 1999,L
TC 1999,
TV 1999,
UG 1999,L
UA 1999,L
AE 1999,H
GB 1999,H
US 1999,H
UY 1999,UM
UZ 1999,L
VU 1999,LM
VE 1999,UM
VN 1999,L
VI 1999,H
PS 1999,LM
YE 1999,L
ZM 1999,L
ZW 1999,L
AF 2000,L
AL 2000,LM
DZ 2000,LM
AS 2000,UM
AD 2000,H
AO 2000,L
AG 2000,UM
AR 2000,UM
AM 2000,L
AW 2000,H
AU 2000,H
AT 2000,H
AZ 2000,L
BS 2000,H
BH 2000,UM
BD 2000,L
BB 2000,H
BY 2000,LM
BE 2000,H
BZ 2000,LM
BJ 2000,L
BM 2000,H
BT 2000,L
BO 2000,LM
BA 2000,LM
BW 2000,UM
BR 2000,UM
VG 2000,
BN 2000,H
BG 2000,LM
BF 2000,L
BI 2000,L
CV 2000,LM
KH 2000,L
CM 2000,L
CA 2000,H
KY 2000,H
CF 2000,L
TD 2000,L
CL 2000,UM
CN 2000,LM
CO 2000,LM
